Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
adding fried onions mint https //wwwindianhealthyrecipescom/wp,1,0,6,0,0,3,2,0,0
14 finally cover the pot or cooker,1,2,7,1,2,2,1,0,0
covered for 15 mins,1,1,4,1,2,1,1,0,0
the hot burner to stop cooking further,0,1,7,0,0,2,1,0,0
pressure cooking chicken biryani https //wwwindianhealthyrecipescom/wp,1,0,6,0,0,4,1,0,0
fluffing up cooked chicken biryani https //wwwindianhealthyrecipescom/wp,1,0,7,0,0,4,2,0,0
chicken enjoy with raita or shorba,0,1,6,0,0,4,0,0,0
chicken biryani recipe https //wwwindianhealthyrecipescom/wp,1,0,5,0,0,5,0,0,0
cook covered further,2,1,3,0,0,1,1,0,0
what you need for a good biryani,0,2,7,0,0,1,1,0,0
contribute to the flavors of chicken biryani,2,1,7,0,0,4,0,0,0
chicken biryani https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,4,0,0,0
how to make the best chicken biryani,0,2,7,0,0,2,1,0,0
lamb rogan josh,0,2,3,0,0,3,0,0,0
rogan josh made with lamb yogurt and,1,0,7,0,0,3,1,0,0
hyderabadi biryani with chicken https //wwwindianhealthyrecipescom/wp,1,0,6,0,0,5,0,0,0
chicken dum birya,0,2,3,0,0,3,0,0,0
chicken dum biryani https //wwwindianhealthyrecipescom/wp,1,0,5,0,0,5,0,0,0
mutton biryani https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,4,0,0,0
12 raita recipes,0,2,3,1,2,1,0,0,0
raita recipe https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,4,0,0,0
shorba recipe bi,0,2,3,0,0,3,0,0,0
shorba sherva biryani gravy https //wwwindianhealthyrecipescom/wp,1,0,6,0,0,5,0,0,0
chicken biryani recipe https //wwwindianhealthyrecipescom/wp,1,0,5,0,0,5,0,0,0
chicken biryani recipe,2,2,3,0,0,3,0,0,0
ease serve chicken biryani with raita or salan gravy,2,1,9,0,0,5,2,0,0
pin recipe print recipe,2,2,4,0,0,4,0,0,0
cook modeprevent your screen from going dark,2,2,7,0,0,3,2,0,0
prep time1 hour,2,2,3,1,1,2,1,0,0
cook time25 minutes,2,2,3,1,2,3,0,0,0
total time1 hour 25 minutes,2,2,5,1,3,2,0,0,0
ingredients us cup 240ml,2,2,4,1,3,1,1,1,0
marinade for chicken biryani,2,2,4,0,0,3,0,0,0
kg chicken 1l lbs,1,2,4,1,1,2,1,0,0
3 tablespoons plain yogurt curd or dahi,1,1,7,1,1,3,1,1,1
to 1 tablespoon garam masala or biryani masala refer notes,1,1,10,1,1,7,0,1,1
1 tablespoon lemon juice optional,2,1,5,1,1,3,0,1,1
whole spices skip if you don t have any,2,2,9,0,0,2,3,0,0
1 bay leaf tej patta,1,2,5,1,1,3,0,0,0
4 green cardamoms choti elaichi,1,1,5,1,1,2,1,0,0
6 cloves lavang,1,1,3,1,1,1,1,0,0
1 inch cinnamon dalchini,1,1,4,1,1,2,0,1,1
1 star anise chakri phool,1,1,5,1,1,4,0,0,0
teaspoon shahi jeera caraway seeds substitute with cumin,1,1,8,0,0,6,1,1,0
1 strand mace javitri,2,1,4,1,1,3,0,0,0
other ingredients for chicken biryani,2,2,5,0,0,3,0,0,0
2 cups basmati rice aged rice only,1,2,7,1,1,3,1,1,1
2 tablespoon ghee or oil,1,1,5,1,1,3,0,1,1
1 large onion sliced thinly,1,1,5,1,1,1,1,1,1
to cup mint leaves chopped fine about 15 leaves,1,1,9,1,2,3,2,1,1
1 green chili slit or chopped,1,1,6,1,1,2,1,0,0
cup plain yogurt indian curd,1,1,5,0,0,4,0,1,0
to teaspoon red chili powder optional for heat,1,1,8,0,0,4,1,1,0
1 teaspoon garam masala or biryani masala,1,1,7,1,1,5,0,1,1
teaspoon salt to stir in water,1,1,6,0,0,3,1,1,0
2 tablespoon fried onions optional,1,1,5,1,1,2,1,1,1
1 pinch saffron optional soaked in 2 tbsps hot milk,2,1,10,1,2,4,1,1,1
turmeric lemon juice red chili powder,2,1,6,0,0,4,1,0,0
set aside for 1 hour to overnight,2,1,7,1,1,1,2,0,0
how to make chicken biryani,2,2,5,0,0,2,1,0,0
heat ghee or oil in a pot or pressure cooker,2,2,10,0,0,6,0,0,0
jeera mace skip them if you do not have,2,1,9,0,0,2,3,0,0
until uniformly light brown but not burnt,2,1,7,0,0,1,1,0,0
to evaporate any excess moisture in the pot,2,1,8,0,0,2,1,0,0
teaspoon red chili powder 1 teaspoon garam masala,2,1,8,1,1,6,0,1,1
spread drained rice in a layer over the chicken,2,2,9,0,0,4,1,0,0
the rest on top of the rice check video,2,1,9,0,0,5,0,0,0
tablespoons fried onions saffron soaked milk if using,2,1,8,0,0,4,3,1,0
fully cooked yet remain grainy,2,1,5,0,0,0,2,0,0
and chicken from the bottom layer,2,1,6,0,0,3,0,0,0
above the recipe card,2,1,4,0,0,2,0,0,0
nutrition info estimation only,2,2,4,0,0,3,0,0,0
chicken biryani recipe,2,2,3,0,0,3,0,0,0
amount per serving,2,2,3,0,0,1,1,0,0
fiber 4g 17,2,2,3,1,3,0,1,0,0
sugar 2g 2,2,2,3,1,2,1,0,0,0
tried this recipe mention swasthisrecipes or tag swasthisrecipes,0,2,8,0,0,4,1,0,0
c swasthi s recipes,2,0,4,0,0,2,1,0,0
for more recipes,2,2,3,0,0,1,0,0,0
please leave this field empty,2,2,5,0,0,3,1,0,0
enter confirm email id for swasthi s recipes newsletter,2,2,9,0,0,8,0,0,0
check your inbox or spam folder to confirm your subscription,2,2,10,0,0,4,2,0,0
whole spices to temper,1,1,4,0,0,1,1,0,0
1 bay leaf / tej patta,1,1,6,1,1,4,0,0,0
3 green cardamoms / choti elaichi,1,1,6,1,1,3,1,0,0
4 to 6 cloves / lavang,1,1,6,1,2,2,0,0,0
1 cinnamon stick / dalchini small,1,1,6,1,1,2,1,1,1
1 star anise / chakri phool,1,1,6,1,1,5,0,0,0
tsp shahi jeera / caraway seeds,2,1,6,0,0,6,0,1,0
1 tbsp curd / yogurt,1,1,5,1,1,3,0,1,1
1 tsp ginger garlic paste,1,1,5,1,1,2,0,1,1
salt as needed,1,1,3,0,0,1,1,0,0
tsp turmeric / haldi,1,1,4,0,0,3,0,1,0
tsp red chilli powder / lal mirch powder,1,1,8,0,0,6,1,1,0
to tsp biryani masala or garam masala powder,2,1,8,0,0,4,1,1,0
2 cups basmati rice / chawal aged,1,1,7,1,1,4,1,1,1
2 tbsp oil,1,1,3,1,1,1,0,1,1
salt as needed,1,1,3,0,0,1,1,0,0
1 tomato medium about half cup,1,1,6,1,1,2,0,1,1
1 tbsp curd / yogurt / dahi,1,1,7,1,1,5,0,1,1
12 mint leaves / pudina finely chopped,1,1,7,1,2,3,2,0,0
12 stems coriander leaves finely chopped,1,1,6,1,2,1,3,0,0
1 tsp ginger garlic paste,1,1,5,1,1,2,0,1,1
2 green chilies / hari mirch sliced or chopped,1,1,9,1,1,2,3,1,1
1 onion large sliced thinly,1,1,5,1,1,1,1,1,1
tsp red chili powder,2,1,4,0,0,3,0,1,0
or use 2 tsps readymade biryani masala or garam masala,1,2,10,1,1,4,2,1,1
1 nutmeg / jaiphal piece very small,1,1,7,1,1,3,0,1,1
4 green cardamoms / choti elaichi,1,1,6,1,1,3,1,0,0
to tsp pepper corn / kali mirch,1,1,7,0,0,4,1,1,0
5 cloves / lavang,1,1,4,1,1,2,0,0,0
1 cinnamon stick / dalchini small,1,1,6,1,1,2,1,1,1
tsp fennel seeds / saunf,1,1,5,0,0,3,1,1,0
tsp stone flower / dagad phool/ kalapasi optional,2,1,8,0,0,6,1,1,0
preparation for the recipe,2,2,4,0,0,2,0,0,0
2 marinate chicken using ingredients under marination set this aside,2,1,10,1,1,5,2,0,0
making chicken biryani,2,2,3,0,0,2,1,0,0
milk and use it,0,1,4,0,0,2,0,0,0
chicken biryani recipe https //wwwindianhealthyrecipescom/wp,1,0,5,0,0,5,0,0,0
assist you to enhance your cooking skills,1,1,7,0,0,3,1,0,0
idli recipe how to,0,2,4,0,0,1,1,0,0
idli guide to make soft idli https //wwwindianhealthyrecipescom/wp,1,0,8,0,0,4,2,0,0
pav bhaji recipe st,0,2,4,0,0,4,0,0,0
pav bhaji made with mixed vegetables spices and,1,0,8,0,0,4,1,0,0
paneer butter masala,0,2,3,0,0,3,0,0,0
paneer butter masala https //wwwindianhealthyrecipescom/wp,1,0,5,0,0,5,0,0,0
samosa recipe how t,0,2,4,0,0,2,1,0,0
samosa stuffed with spiced potatoes served with,1,0,7,0,0,3,1,0,0
chutney https //wwwindianhealthyrecipescom/wp,1,1,3,0,0,3,0,0,0
eggless chocolate ca,0,2,3,0,0,2,0,0,0
eggless chocolate cake https //wwwindianhealthyrecipescom/wp,1,0,5,0,0,5,0,0,0
palak paneer recipe,0,2,3,0,0,2,1,0,0
palak paneer https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,3,1,0,0
rajma recipe https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,4,0,0,0
dal tadka reci,0,2,3,0,0,2,0,0,0
dal tadka https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,3,0,0,0
aloo paratha r,0,2,3,0,0,3,0,0,0
aloo paratha https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,4,0,0,0
paneer recipes collection of recipes with,1,0,6,0,0,4,0,0,0
paneer https //wwwindianhealthyrecipescom/wp,1,1,3,0,0,3,0,0,0
dal makhani re,0,2,3,0,0,2,0,0,0
dal makhani https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,3,0,0,0
veg biryani vegetable biryani https //wwwindianhealthyrecipescom/wp,1,0,6,0,0,5,0,0,0
recipe rating recipe rating,1,2,4,0,0,4,0,0,0
recipe rating recipe rating,1,2,4,0,0,4,0,0,0
view all comments,2,2,3,0,0,2,0,0,0
5 stars https //wwwindianhealthyrecipescom/wp content/plugins/wp recipe,1,0,6,1,1,4,0,0,0
he s my biggest critic so i m,1,0,8,0,0,2,1,0,0
pregnant so the burst of flavors was amazing,2,1,8,0,0,3,2,0,0
very great recipe,0,2,3,0,0,1,0,0,0
reply to aesha imani,2,2,4,0,0,2,1,0,0
do you use boneless chicken pieces,0,2,6,0,0,2,2,0,0
reply to jeanley,2,2,3,0,0,1,1,0,0
masala and it is a big hit,2,1,7,0,0,2,1,0,0
reply to paul wood,2,2,4,0,0,2,1,0,0
helps glad you like the chicken tikka masala thank you,2,1,10,0,0,4,2,0,0
5 stars https //wwwindianhealthyrecipescom/wp content/plugins/wp recipe,1,0,6,1,1,4,0,0,0
reply to mayssaa,2,2,3,0,0,1,1,0,0
reply to karen low,2,2,4,0,0,1,1,0,0
i use a standard us cup measuring 240 ml,1,1,9,1,3,2,3,1,1
reply to swasthi,2,2,3,0,0,1,1,0,0
biryani rice how much time should i set,0,1,8,0,0,3,2,0,0
i intend to wait for the pressure,1,0,7,0,0,1,2,0,0
cooker to auto release,2,1,4,0,0,3,0,0,0
reply to karen low,2,2,4,0,0,1,1,0,0
pressure to release naturally,2,1,4,0,0,1,1,0,0
reply to swasthi,2,2,3,0,0,1,1,0,0
5 stars https //wwwindianhealthyrecipescom/wp content/plugins/wp recipe,1,0,6,1,1,4,0,0,0
5 stars https //wwwindianhealthyrecipescom/wp content/plugins/wp recipe,1,0,6,1,1,4,0,0,0
only the saffron thank you,2,1,5,0,0,2,0,0,0
reply to karen low,2,2,4,0,0,1,1,0,0
directly without soaking hope you enjoy the dish,2,1,8,0,0,2,2,0,0
5 stars https //wwwindianhealthyrecipescom/wp content/plugins/wp recipe,1,0,6,1,1,4,0,0,0
but overall 8/10,0,1,3,1,3,0,0,0,0
very close to tasting like restaurant biryani,0,0,7,0,0,2,1,0,0
i didn t,1,0,3,0,0,2,1,0,0
reply to eesha,2,2,3,0,0,1,1,0,0
5 stars https //wwwindianhealthyrecipescom/wp content/plugins/wp recipe,1,0,6,1,1,4,0,0,0
shall i just buy a pressure cooker,0,1,7,0,0,2,2,0,0
reply to eddy,2,2,3,0,0,1,1,0,0
the same hope this helps,2,1,5,0,0,2,0,0,0
reply to swasthi,2,2,3,0,0,1,1,0,0
5 stars https //wwwindianhealthyrecipescom/wp content/plugins/wp recipe,1,0,6,1,1,4,0,0,0
thank you i am going to try making it today,0,1,10,0,0,1,5,0,0
i ll let you know how i get on,1,0,9,0,0,2,3,0,0
5 stars https //wwwindianhealthyrecipescom/wp content/plugins/wp recipe,1,0,6,1,1,4,0,0,0
reply to utardai asmus,2,2,4,0,0,2,1,0,0
glad to know,0,2,3,0,0,1,1,0,0
5 stars https //wwwindianhealthyrecipescom/wp content/plugins/wp recipe,1,0,6,1,1,4,0,0,0
i tried making it came out great,2,1,7,0,0,1,3,0,0
5 stars https //wwwindianhealthyrecipescom/wp content/plugins/wp recipe,1,0,6,1,1,4,0,0,0
with the chicken right before adding the rice,0,1,8,0,0,3,1,0,0
or sprinkle them on top of the,1,0,7,0,0,1,1,0,0
ps made the house smell fantastic,2,0,6,0,0,3,1,0,0
reply to kate,2,2,3,0,0,1,1,0,0
a few times,1,1,3,0,0,1,0,0,0
can this be made in an instant pot,0,2,8,0,0,2,2,0,0
how long does it need to be sealed ans how,1,0,10,0,0,0,5,0,0
long after to quick release,0,1,5,0,0,1,1,0,0
reply to rashmi,2,2,3,0,0,1,1,0,0
and cook pot in pot same cook time,2,1,8,0,0,5,0,0,0
reply to swasthi,2,2,3,0,0,1,1,0,0
5 stars https //wwwindianhealthyrecipescom/wp content/plugins/wp recipe,1,0,6,1,1,4,0,0,0
thank you for this,0,1,4,0,0,1,0,0,0
my husband well fed,0,1,4,0,0,1,1,0,0
reply to dominique,2,2,3,0,0,1,1,0,0
hope you enjoy this as well,1,2,6,0,0,1,1,0,0
5 stars https //wwwindianhealthyrecipescom/wp content/plugins/wp recipe,1,0,6,1,1,4,0,0,0
5 stars https //wwwindianhealthyrecipescom/wp content/plugins/wp recipe,1,0,6,1,1,4,0,0,0
thank you again for the,1,0,5,0,0,1,0,0,0
reply to anna,2,2,3,0,0,1,1,0,0
or more water hope this helps,2,1,6,0,0,2,1,0,0
lot for sharing such delicious receipes,2,1,6,0,0,2,1,0,0
reply to shobha,2,2,3,0,0,1,1,0,0
glad to know shobha,1,2,4,0,0,2,1,0,0
5 stars https //wwwindianhealthyrecipescom/wp content/plugins/wp recipe,1,0,6,1,1,4,0,0,0
attention to detail makes this recipe the best,0,1,8,0,0,1,3,0,0
everyone in my family loved,1,0,5,0,0,2,1,0,0
thank you and keep up the excellent work,0,0,8,0,0,2,1,0,0
reply to sanjana,2,2,3,0,0,1,1,0,0
5 stars https //wwwindianhealthyrecipescom/wp content/plugins/wp recipe,1,0,6,1,1,4,0,0,0
is by far the best one,0,1,6,0,0,1,1,0,0
the attention to detail using whole spices instead of,1,0,9,0,0,2,2,0,0
reply to shilpa,2,2,3,0,0,1,1,0,0
do you use chicken fillet or bone meat,0,1,8,0,0,3,2,0,0
or a mix of the two,0,0,6,0,0,1,0,0,0
reply to sophie,2,2,3,0,0,1,1,0,0
chicken i use,2,1,3,0,0,2,1,0,0
networks kindly share the same for updates,2,1,7,0,0,3,0,0,0
reply to abhijeet sharma,2,2,4,0,0,2,1,0,0
and ig thank you,2,1,4,0,0,1,1,0,0
5 stars https //wwwindianhealthyrecipescom/wp content/plugins/wp recipe,1,0,6,1,1,4,0,0,0
very good and quite,1,0,4,0,0,0,0,0,0
simple to make especially in the instant pot,0,1,8,0,0,3,1,0,0
will be cooking again for sure,1,0,6,0,0,0,2,0,0
reply to juliette,2,2,3,0,0,1,1,0,0
thank you so much juliette,1,2,5,0,0,2,0,0,0
reply to juliette,2,2,3,0,0,1,1,0,0
and after how,1,0,3,0,0,0,0,0,0
long did you quick release,0,1,5,0,0,1,2,0,0
load rest of comments,2,2,4,0,0,3,0,0,0
recipes https //wwwindianhealthyrecipescom/wp,1,1,3,0,0,2,1,0,0
snacks recipes https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,3,1,0,0
rice recipes https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,3,1,0,0
curry recipes https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,3,1,0,0
simple easy cake,1,0,3,0,0,1,0,0,0
recipes https //wwwindianhealthyrecipescom/wp,1,1,3,0,0,2,1,0,0
recipe https //wwwindianhealthyrecipescom/wp,1,1,3,0,0,3,0,0,0
jalebi served in a blue plate https //wwwindianhealthyrecipescom/wp,1,0,8,0,0,4,1,0,0
rasgulla recipe https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,4,0,0,0
rasmalai https //wwwindianhealthyrecipescom/wp,1,0,3,0,0,3,0,0,0
gulab jamun https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,4,0,0,0
gulab jamun r,0,2,3,0,0,3,0,0,0
besan ladoo https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,3,0,0,0
besan ladoo r,0,2,3,0,0,2,0,0,0
kaju katli recipe https //wwwindianhealthyrecipescom/wp,1,0,5,0,0,5,0,0,0
kaju katli re,0,2,3,0,0,3,0,0,0
rava laddu https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,4,0,0,0
rava laddu re,0,2,3,0,0,3,0,0,0
moong dal halwa https //wwwindianhealthyrecipescom/wp,1,0,5,0,0,3,0,0,0
moong dal hal,2,2,3,0,0,1,0,0,0
indian dinner recipes https //wwwindianhealthyrecipescom/wp,1,0,5,0,0,3,1,0,0
sandwich recipes https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,2,1,0,0
35 sandwich r,0,2,3,1,2,1,0,0,0
ragi recipes https //wwwindianhealthyrecipescom/wp,1,0,4,0,0,3,1,0,0
oats recipes for breakfast and,1,0,5,0,0,3,0,0,0
32 oats recip,2,2,3,1,2,1,1,0,0
may not be reproduced in any form,2,1,7,0,0,1,2,0,0
